type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,avg_test_loss
small_set_transformer,1,10,37953,10,0,10,sum,True,10000,1000,1000,27.2684,16.072751998901367,0.0,81.0,26.0,10.0,1.7441093921661377,27.164,16.3602294921875,0.0,71.0,26.0,10.0,1.7379363775253296,27.284,16.581836700439453,0.0,71.0,25.0,9.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,sum-results.csv,mse,88,0.009246501867336096,0.0003845587943942519,0.0005262818067421904
deepsets_mlp_sum,1,10,251,10,0,10,sum,False,10000,1000,1000,27.3045,15.127338409423828,0.0,55.0,27.0,10.0,1.7441093921661377,26.908,15.2105073928833,0.0,55.0,27.0,10.0,1.7379363775253296,27.377,15.268558502197266,0.0,55.0,27.0,9.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,sum-results.csv,mse,98,1.6035150144509582e-05,1.016344008064607e-06,1.0681721214211848e-06
deepsets_mlp_max,1,10,251,10,0,10,sum,False,10000,1000,1000,27.3045,15.127338409423828,0.0,55.0,27.0,10.0,1.7441093921661377,26.908,15.2105073928833,0.0,55.0,27.0,10.0,1.7379363775253296,27.377,15.268558502197266,0.0,55.0,27.0,9.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,sum-results.csv,mse,38,74.28107413516682,77.49598479270935,72.33683371543884
deepsets_mlp_fspool,1,10,361,10,0,10,sum,False,10000,1000,1000,27.3045,15.127338409423828,0.0,55.0,27.0,10.0,1.7441093921661377,26.908,15.2105073928833,0.0,55.0,27.0,10.0,1.7379363775253296,27.377,15.268558502197266,0.0,55.0,27.0,9.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,sum-results.csv,mse,137,7.237722615937641e-05,5.651984892551809e-06,5.9029223393736174e-06
mlp,1,10,121,10,0,10,sum,False,10000,1000,1000,27.3045,15.127338409423828,0.0,55.0,27.0,10.0,1.7441093921661377,26.908,15.2105073928833,0.0,55.0,27.0,10.0,1.7379363775253296,27.377,15.268558502197266,0.0,55.0,27.0,9.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,sum-results.csv,mse,86,9.188538897570902e-05,7.804722876869619e-07,8.206632351459575e-07
sorted_mlp,1,10,121,10,0,10,sum,False,10000,1000,1000,27.3045,15.127338409423828,0.0,55.0,27.0,10.0,1.7441093921661377,26.908,15.2105073928833,0.0,55.0,27.0,10.0,1.7379363775253296,27.377,15.268558502197266,0.0,55.0,27.0,9.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,sum-results.csv,mse,51,0.00018761157221674086,0.00013904548472964962,0.00016479949067615962
pna,1,10,141,10,0,10,sum,False,10000,1000,1000,27.3045,15.127338409423828,0.0,55.0,27.0,10.0,1.7441093921661377,26.908,15.2105073928833,0.0,55.0,27.0,10.0,1.7379363775253296,27.377,15.268558502197266,0.0,55.0,27.0,9.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,sum-results.csv,mse,171,0.06726002757241771,0.06175591330975294,0.06015708344057202
small_set_transformer,1,10,37953,10,0,10,sum,False,10000,1000,1000,27.3045,15.127338409423828,0.0,55.0,27.0,10.0,1.7441093921661377,26.908,15.2105073928833,0.0,55.0,27.0,10.0,1.7379363775253296,27.377,15.268558502197266,0.0,55.0,27.0,9.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,sum-results.csv,mse,37,0.007614919895218733,0.0006227534031495452,0.0006106687669671373
deepsets_mlp_sum,1,10,251,10,0,10,sum,True,10000,1000,1000,27.3367,16.025339126586914,0.0,78.0,26.0,9.0,1.7492488622665405,26.977,16.63551902770996,0.0,79.0,25.0,10.0,1.7338699102401733,27.628,16.27346420288086,0.0,71.0,26.0,25.0,1.7586982250213623,500,15,1e-09,0.001,64,9999,0.005,50.0,False,True,sum-results.csv,mse,54,0.00017738335064811052,8.053766350712976e-05,7.978241228556726e-05
deepsets_mlp_max,1,10,251,10,0,10,sum,True,10000,1000,1000,27.3367,16.025339126586914,0.0,78.0,26.0,9.0,1.7492488622665405,26.977,16.63551902770996,0.0,79.0,25.0,10.0,1.7338699102401733,27.628,16.27346420288086,0.0,71.0,26.0,25.0,1.7586982250213623,500,15,1e-09,0.001,64,9999,0.005,50.0,False,True,sum-results.csv,mse,68,121.04038690457678,128.76224565505981,121.91619825363159
deepsets_mlp_fspool,1,10,361,10,0,10,sum,True,10000,1000,1000,27.3367,16.025339126586914,0.0,78.0,26.0,9.0,1.7492488622665405,26.977,16.63551902770996,0.0,79.0,25.0,10.0,1.7338699102401733,27.628,16.27346420288086,0.0,71.0,26.0,25.0,1.7586982250213623,500,15,1e-09,0.001,64,9999,0.005,50.0,False,True,sum-results.csv,mse,171,0.00020719965204105996,2.379716839584489e-06,2.2334681020197422e-06
mlp,1,10,121,10,0,10,sum,True,10000,1000,1000,27.3367,16.025339126586914,0.0,78.0,26.0,9.0,1.7492488622665405,26.977,16.63551902770996,0.0,79.0,25.0,10.0,1.7338699102401733,27.628,16.27346420288086,0.0,71.0,26.0,25.0,1.7586982250213623,500,15,1e-09,0.001,64,9999,0.005,50.0,False,True,sum-results.csv,mse,79,0.00019407309098673427,1.1610143459961364e-06,1.2913952005533247e-06
