type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,avg_test_loss
mlp,1,8,3053,8,-100,100,largest_contiguous_sum,True,10000,1000,1000,107.67630004882812,97.32718658447266,-100.0,588.0,96.0,99.0,8.992505633319299,1.5997881889343262,109.96499633789062,98.43608093261719,-100.0,477.0,97.0,88.0,10.772484063817277,1.594311237335205,107.01399993896484,99.26596069335938,-98.0,425.0,94.5,50.0,10.891687612429337,1.567077875137329,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,95,9.827208283220886,4.740630827844143,18.342021942138672,1.2304954528808594,0.5923080444335938,76.37484741210938,305969108090880.0,0.9981385710242394,17.933639232069254
mlp,1,8,3453,16,-100,100,largest_contiguous_sum,True,10000,1000,1000,210.99710083007812,153.9534912109375,-100.0,886.0,195.0,90.0,9.838956829040878,2.0936684608459473,210.2530059814453,157.48829650878906,-98.0,756.0,195.5,178.0,12.216573288579903,2.084343671798706,205.08900451660156,157.54415893554688,-98.0,729.0,186.5,188.0,12.225175189917346,2.0506536960601807,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,163,9.132706657716422,4.5984645411372185,8.339599609375,1.1367371082305908,0.5161361694335938,47.203006744384766,24124156018688.0,0.9996639989830806,8.185875218361616
mlp,1,8,4253,32,-100,100,largest_contiguous_sum,True,10000,1000,1000,414.1199035644531,268.6629943847656,-100.0,1412.0,395.0,97.0,11.01567045663423,2.6590332984924316,414.2690124511719,269.03302001953125,-96.0,1215.0,399.0,176.0,13.996823562937532,2.645707130432129,404.17999267578125,273.50677490234375,-100.0,1252.0,385.0,78.0,14.075091712507653,2.6042444705963135,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,330,19.23505304117871,23.640107065439224,26.456480026245117,2.622617244720459,1.338226318359375,64.38174438476562,43091574652928.0,0.9996463319117741,25.965675562620163
mlp,1,8,5853,64,-100,100,largest_contiguous_sum,True,10000,1000,1000,816.6488037109375,500.16192626953125,-100.0,2342.0,797.0,838.0,12.64891438355282,3.272526979446411,817.8469848632812,505.17608642578125,-90.0,2426.0,813.0,8.0,15.583147792938979,3.259382724761963,779.927001953125,504.61566162109375,-93.0,2160.0,737.0,341.0,15.423544434004851,3.2113852500915527,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,46,1602.0130401416948,5175.919448852539,5305.58349609375,51.474342346191406,35.41009521484375,295.258544921875,0.14794321358203888,0.979164126704078,5323.6517333984375
mlp,1,8,9053,128,-100,100,largest_contiguous_sum,True,10000,1000,1000,1618.497314453125,961.0709838867188,-98.0,4734.0,1601.0,398.0,14.982824833745749,3.9188179969787598,1615.2889404296875,965.1375122070312,-82.0,4028.0,1649.0,455.0,16.359977563503897,3.9052016735076904,1560.239990234375,1000.2769165039062,-93.0,4349.0,1486.5,467.0,16.58511167102723,3.8526508808135986,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,47,2882.978551390824,29858.14453125,32287.86328125,118.20327758789062,71.13360595703125,961.0302734375,321215403130880.0,0.9677300082381342,32335.739135742188
mlp,1,8,15453,256,-100,100,largest_contiguous_sum,True,10000,1000,1000,3225.6767578125,1877.916748046875,-78.0,7756.0,3205.0,3621.0,17.69923654251852,4.585146903991699,3205.281982421875,1898.35546875,-21.0,7191.0,3230.0,637.0,17.201092212833018,4.570905685424805,3134.568115234375,1947.6986083984375,-8.0,7646.0,3090.0,104.0,17.10313549176457,4.513640880584717,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,35,7506.32871746865,187852.2666015625,204718.75,298.4048156738281,173.6219482421875,2166.9580078125,0.24436910450458527,0.946034760768431,210716.21435546875
mlp,1,8,28253,512,-100,100,largest_contiguous_sum,True,10000,1000,1000,6433.87109375,3720.10205078125,-64.0,14998.0,6416.5,8888.0,20.390206140922892,5.262914657592773,6422.466796875,3766.5068359375,-61.0,14095.0,6665.0,482.0,17.534903713211627,5.2481865882873535,6212.60009765625,3826.841064453125,-20.0,13916.0,6085.5,11092.0,17.62017886251056,5.188929557800293,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,30,46794.1876866043,1421868.60546875,1390208.75,754.0457763671875,383.36669921875,5816.78662109375,0.28229546546936035,0.90507094619417,1396186.5390625
mlp,1,8,53853,1024,-100,100,largest_contiguous_sum,True,10000,1000,1000,12850.546875,7413.6904296875,-95.0,27987.0,12825.0,11683.0,22.230418922895,5.947558879852295,12832.6611328125,7539.4970703125,86.0,27459.0,12820.0,9293.0,17.71666490859199,5.93290901184082,12450.2060546875,7658.13427734375,-27.0,27080.0,12098.0,17708.0,17.705944236805166,5.871810436248779,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,37,363175.7587579618,11099565.5625,10684379.0,2093.956298828125,1011.02392578125,12091.5234375,0.19285157322883606,0.8178189070218528,10642743.25
mlp,1,8,3053,8,-100,100,max,True,10000,1000,1000,54.126800537109375,43.700416564941406,-100.0,100.0,69.0,95.0,7.077579594385742,1.5997881889343262,54.5,43.50434494018555,-100.0,100.0,69.0,98.0,7.8362993726807195,1.594311237335205,53.21099853515625,44.545284271240234,-98.0,100.0,68.5,100.0,7.899206439462607,1.567077875137329,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,90,19.54992164927683,19.538269728422165,35.48393630981445,2.7835891246795654,1.2700843811035156,76.82915496826172,350905639632896.0,0.9821174966638279,35.1214981675148
mlp,1,8,3453,16,-100,100,max,True,10000,1000,1000,69.55239868164062,36.22832489013672,-100.0,100.0,83.0,100.0,6.489031382539395,2.0936684608459473,68.2750015258789,38.458255767822266,-98.0,100.0,82.0,96.0,7.18694458173718,2.084343671798706,67.37999725341797,39.70317077636719,-98.0,100.0,82.0,96.0,7.241911004539944,2.0506536960601807,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,76,38.389462975180074,58.1392719745636,75.08138275146484,5.793850421905518,3.84429931640625,64.53915405273438,62558790746112.0,0.9523698533791095,74.80024409294128
mlp,1,8,4253,32,-100,100,max,True,10000,1000,1000,81.02140045166016,28.312091827392578,-100.0,100.0,91.0,100.0,5.748499355266278,2.6590332984924316,80.25800323486328,30.189821243286133,-96.0,100.0,91.0,100.0,6.286245246212053,2.645707130432129,78.927001953125,31.9731388092041,-100.0,100.0,90.5,100.0,6.392471746978295,2.6042444705963135,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,65,60.02891278115048,133.7998390197754,118.49908447265625,8.08689022064209,6.023769378662109,42.54280471801758,23004591423488.0,0.8840837200288221,117.30954694747925
mlp,1,8,5853,64,-100,100,max,True,10000,1000,1000,88.77960205078125,21.55010986328125,-100.0,100.0,96.0,100.0,4.876819236486103,3.272526979446411,89.05599975585938,19.967796325683594,-90.0,100.0,96.0,100.0,5.111046344567342,3.259382724761963,86.84400177001953,25.051300048828125,-93.0,100.0,95.0,100.0,5.44444145697817,3.2113852500915527,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,88,51.683820299282196,150.38283824920654,142.4551239013672,9.425562858581543,7.950519561767578,48.47802734375,0.13425399363040924,0.7730043442737154,142.42872858047485
mlp,1,8,9053,128,-100,100,max,True,10000,1000,1000,93.64849853515625,15.459959983825684,-98.0,100.0,98.0,100.0,3.961380601276527,3.9188179969787598,92.7750015258789,17.811017990112305,-82.0,100.0,98.0,100.0,4.283299569820559,3.9052016735076904,92.26699829101562,18.5439395904541,-93.0,100.0,98.0,100.0,4.32835702728873,3.8526508808135986,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,43,62.21017064865987,161.32990837097168,167.76255798339844,10.200326919555664,8.40936279296875,49.24321746826172,183104891256832.0,0.5121446971842468,167.67772436141968
mlp,1,8,15453,256,-100,100,max,True,10000,1000,1000,96.47760009765625,11.564855575561523,-78.0,100.0,99.0,100.0,3.0088651972295173,4.585146903991699,96.69200134277344,8.90388298034668,-21.0,100.0,99.0,100.0,3.1840574287285692,4.570905685424805,96.02799987792969,10.80394458770752,-8.0,100.0,99.0,100.0,3.333899114076596,4.513640880584717,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,29,55.88851063722258,146.1490626335144,148.32022094726562,9.469528198242188,7.793418884277344,49.2111930847168,0.13107681274414062,-0.2706784356646823,147.68969440460205
mlp,1,8,28253,512,-100,100,max,True,10000,1000,1000,98.24169921875,7.454695224761963,-64.0,100.0,100.0,100.0,2.0870881180429413,5.262914657592773,98.3280029296875,7.720647811889648,-61.0,100.0,100.0,100.0,2.116294543810283,5.2481865882873535,97.96399688720703,7.7550435066223145,-20.0,100.0,100.0,100.0,2.2795525635325764,5.188929557800293,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,62,32.52777317071416,155.20631551742554,158.03480529785156,9.919677734375,8.238975524902344,50.41105270385742,0.10950038582086563,-1.6277513049432462,160.24283742904663
mlp,1,8,53853,1024,-100,100,max,True,10000,1000,1000,99.19339752197266,5.414092540740967,-95.0,100.0,100.0,100.0,1.2560930855414472,5.947558879852295,99.16100311279297,3.429442882537842,63.0,100.0,100.0,100.0,1.3841627543514452,5.93290901184082,99.02400207519531,5.426363468170166,-27.0,100.0,100.0,100.0,1.4730399120665223,5.871810436248779,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,56,37.49116659468147,141.23301315307617,153.01876831054688,9.631673812866211,7.746665954589844,60.351749420166016,0.0991750955581665,-4.196690950123772,152.96132802963257
mlp,1,8,3053,8,-100,100,cardinality,True,10000,1000,1000,4.4899001121521,2.2742247581481934,1.0,8.0,4.0,5.0,3.0007800620683747,1.5997881889343262,4.47599983215332,2.2990050315856934,1.0,8.0,4.0,7.0,3.008406873883489,1.594311237335205,4.372000217437744,2.3485350608825684,1.0,8.0,4.0,1.0,3.0062924606380412,1.567077875137329,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,206,0.05709766614944882,0.04911693558096886,0.049841154366731644,0.1395210325717926,0.08619135618209839,2.0531492233276367,0.033630721271038055,0.9909636292119299,0.049706340534612536
mlp,1,8,3453,16,-100,100,cardinality,True,10000,1000,1000,8.477299690246582,4.573519706726074,1.0,16.0,8.0,9.0,4.002968036215602,2.0936684608459473,8.467000007629395,4.665502071380615,1.0,16.0,8.0,12.0,4.028768962941898,2.084343671798706,8.241000175476074,4.728733062744141,1.0,16.0,8.0,2.0,4.032963608444709,2.0506536960601807,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,121,0.5868339954288142,1.2730960361659527,1.3971192836761475,0.7997674942016602,0.5045225620269775,5.909109115600586,0.09974296391010284,0.9375195981138332,1.4111366495490074
mlp,1,8,4253,32,-100,100,cardinality,True,10000,1000,1000,16.460100173950195,9.158514976501465,1.0,32.0,16.0,18.0,5.008732442393702,2.6590332984924316,16.42300033569336,9.322235107421875,1.0,32.0,16.0,27.0,5.087438899186848,2.645707130432129,15.982999801635742,9.470307350158691,1.0,32.0,16.0,10.0,5.092015293949032,2.6042444705963135,500,15,1e-09,0.001,64,9999,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,26,3.1082095583533027,4.99227149784565,4.762166976928711,1.6269941329956055,1.2126274108886719,8.599739074707031,0.15530069172382355,0.9469021982124906,4.723018109798431
